Degree0,XCoordinate0,YCoordinate0,Degree1,XCoordinate1,YCoordinate1,Degree0_rad,Degree1_rad,d,cosb,cosb_ref,delta_cos,min,d,cosb,cosb_ref,delta_cos,min
4.95,171.5342819,14.84890969,4.95,278.4106501,24.10069027,0.086393798,0.086393798,,1.569713128,0.996270376,0.573442751,,,1.76857987,0.996270376,0.772309494,
5.06,172.414746,15.25850702,5.06,278.5631348,24.65251752,0.08831366,0.08831366,,1.570572855,0.996102883,0.574469972,,,1.769548516,0.996102883,0.773445634,
5.18,173.2877145,15.70142202,5.18,285.0011204,25.82365911,0.090408055,0.090408055,,1.606871001,0.995915975,0.610955027,,,1.81044527,0.995915975,0.814529295,
5.29,174.5358754,16.15224033,5.29,289.1181005,26.7561327,0.092327917,0.092327917,,1.630083036,0.995740805,0.634342231,,,1.836598034,0.995740805,0.840857229,
5.4,176.3146046,16.6581377,5.4,306.4474746,28.95304243,0.09424778,0.09424778,,1.727788156,0.995561965,0.732226192,,,1.946681403,0.995561965,0.951119438,
5.51,178.1060909,17.17227613,5.51,306.3913527,29.54102742,0.096167642,0.096167642,,1.727471734,0.995379455,0.732092279,,,1.946324893,0.995379455,0.950945438,
5.63,179.1547037,17.65197296,5.63,320.8279126,31.61092353,0.098262037,0.098262037,,1.808866816,0.995176169,0.813690647,,,2.038031907,0.995176169,1.042855737,
5.74,179.1205017,17.99571822,5.74,321.6099886,32.31122444,0.100181899,0.100181899,,1.813276256,0.994985989,0.818290266,,,2.042999978,0.994985989,1.048013988,
5.85,180.3681385,18.47073241,5.85,322.3834386,33.01391408,0.102101761,0.102101761,,1.817637061,0.994792142,0.822844919,,,2.047913253,0.994792142,1.053121111,
5.96,182.6845122,19.06223992,5.96,322.5308864,33.65452858,0.104021623,0.104021623,,1.818468389,0.994594628,0.823873762,,,2.048849902,0.994594628,1.054255275,
6.08,183.5510187,19.54115805,6.08,323.0910981,34.39683558,0.106116019,0.106116019,,1.821626931,0.994374977,0.827251954,,,2.052408599,0.994374977,1.058033623,
6.19,184.2370583,19.97180589,6.19,323.2358616,35.03966001,0.108035881,0.108035881,,1.822443125,0.994169798,0.828273327,,,2.053328197,0.994169798,1.059158399,
6.3,184.560977,20.36530826,6.3,323.804816,35.73011481,0.109955743,0.109955743,,1.82565096,0.993960955,0.831690004,,,2.056942431,0.993960955,1.062981476,
6.41,185.0706534,20.78107894,6.41,307.3453961,34.51097632,0.111875605,0.111875605,,1.732850747,0.993748449,0.739102298,,,1.952385372,0.993748449,0.958636923,
6.53,187.3878881,21.43858004,6.53,307.9473051,35.23148167,0.11397,0.11397,,1.736244383,0.993512446,0.742731937,,,1.956208948,0.993512446,0.962696501,
6.64,188.4299077,21.92418453,6.64,308.7700168,35.92598918,0.115889862,0.115889862,,1.740882932,0.993292282,0.74759065,,,1.961435154,0.993292282,0.968142871,
6.75,189.4714964,22.41395488,6.75,309.5969136,36.62446006,0.117809725,0.117809725,,1.745545077,0.993068457,0.75247662,,,1.966687945,0.993068457,0.973619488,
6.86,189.9741842,22.84314663,6.86,310.1988981,37.29937805,0.119729587,0.119729587,,1.748939139,0.992840971,0.756098167,,,1.970512,0.992840971,0.977671029,
6.98,190.4737413,23.30780751,6.98,311.0185593,38.05858311,0.121823982,0.121823982,,1.753560488,0.992588632,0.760971857,,,1.975718828,0.992588632,0.983130196,
7.09,191.1555821,23.76362943,7.09,311.8443672,38.76713355,0.123743844,0.123743844,,1.758216494,0.992353495,0.765862998,,,1.980964702,0.992353495,0.988611207,
7.2,192.5651092,24.31416729,7.2,311.7694033,39.3654565,0.125663706,0.125663706,,1.757793838,0.992114701,0.765679137,,,1.9804885,0.992114701,0.988373799,
7.31,192.5180985,24.68363335,7.31,313.2640586,40.1650298,0.127583568,0.127583568,,1.766220887,0.991872251,0.774348636,,,1.98998317,0.991872251,0.99811092,
7.43,192.830098,25.13404039,7.43,313.4049578,40.85012117,0.129677963,0.129677963,,1.767015293,0.991603589,0.775411704,,,1.99087822,0.991603589,0.999274631,
7.54,193.511693,25.60061244,7.54,314.2274299,41.57069027,0.131597826,0.131597826,,1.771652491,0.991353495,0.780298996,,,1.996102904,0.991353495,1.004749409,
7.65,194.1911467,26.06975045,7.65,315.2704333,42.32438844,0.133517688,0.133517688,,1.777533071,0.991099747,0.786433324,,,2.002728494,0.991099747,1.011628747,
7.76,194.3239972,26.46729013,7.76,314.9645949,42.8987641,0.13543755,0.13543755,,1.775808717,0.990842346,0.784966371,,,2.000785682,0.990842346,1.009943335,
7.88,194.6323296,26.9243931,7.88,315.3243896,43.62028569,0.137531945,0.137531945,,1.777837283,0.99055738,0.787279903,,,2.003071247,0.99055738,1.012513867,
7.99,194.7629232,27.32344058,7.99,315.4643269,44.25673351,0.139451807,0.139451807,,1.778626267,0.990292344,0.788333923,,,2.003960187,0.990292344,1.013667843,
8.1,195.6254255,27.82731679,8.1,315.8285262,44.92596209,0.141371669,0.141371669,,1.780679667,0.990023658,0.790656009,,,2.006273732,0.990023658,1.016250074,
8.21,196.6655903,28.3603992,8.21,315.5160953,45.49937995,0.143291532,0.143291532,,1.778918144,0.989751322,0.789166821,,,2.004289041,0.989751322,1.014537719,
8.33,197.3372728,28.87907107,8.33,314.9703934,46.0939398,0.145385927,0.145385927,,1.77584141,0.989450069,0.786391341,,,2.000822516,0.989450069,1.011372448,
8.44,197.4645087,29.28482785,8.44,314.8813644,46.69824776,0.147305789,0.147305789,,1.775339453,0.989170107,0.786169347,,,2.000256967,0.989170107,1.011086861,
8.55,197.9566469,29.74613646,8.55,314.1166397,47.20102395,0.149225651,0.149225651,,1.771027843,0.988886499,0.782141344,,,1.995399119,0.988886499,1.00651262,
