Degree,XCoordinate,YCoordinate
11.16,138.3422555,27.27795847
11.34,137.6659246,27.59395827
11.52,137.5786011,28.02609253
11.7,136.618841,28.27765249
11.88,136.242656,28.6462102
12.06,135.8672484,29.01305689
12.24,135.4926351,29.37820892
12.42,135.3997198,29.80351027
12.6,134.4687205,30.04158017
12.78,134.0985778,30.40128446
12.96,134.0024569,30.82220343
13.14,133.3609235,31.11587075
13.32,132.9934442,31.47078742
13.5,132.6268848,31.82414315
13.68,103.3346052,25.13880214
13.86,103.25516,25.46314834
14.04,102.5035356,25.61949499
14.22,102.09022,25.85704899
14.4,101.6784176,26.09277174
14.58,101.2681535,26.32668642
14.76,101.1849886,26.64453811
14.94,100.7755613,26.87538368
15.12,100.6906759,27.19168594
15.3,100.2821255,27.41949389
15.48,99.87519967,27.64557513
15.66,99.78790034,27.95904646
15.84,99.06632135,28.09265575
16.02,98.97762218,28.403585
16.2,98.88794713,28.7142342
16.38,98.79729709,29.02460029
16.56,98.70567294,29.3346802
16.74,97.99110108,29.45749665
16.92,97.59063571,29.67155466
17.1,97.19195774,29.88405402
17.28,97.09764282,30.18908894
17.46,96.7001159,30.39880894
17.64,82.92609567,26.35518905
17.82,82.84293171,26.61544663
18,81.56066601,26.48630641
18.18,81.47709706,26.74227591
18.36,80.19779864,26.60162451
18.54,80.11387432,26.85331405
18.72,79.18775252,26.81976603
18.9,78.75344623,26.94861853
19.08,78.66843947,27.19577109
19.26,77.33071162,27.00545081
19.44,76.54388255,27.00063043
19.62,76.04171323,27.09227163
19.8,75.54133715,27.18160619
19.98,75.45561464,27.4186716
20.16,74.54610228,27.35346355
20.34,74.45984505,27.58740308
20.52,74.37285367,27.82107061
20.7,73.87755549,27.90053993
20.88,73.78958373,28.13237753
21.06,71.12892859,27.37411523
21.24,71.04262336,27.59732475
21.42,70.95561767,27.82026217
21.6,70.8679124,28.04292529
21.78,69.96244871,27.93902474
21.96,69.46895718,27.99518985
22.14,69.38070996,28.21318401
22.32,68.88916217,28.26570364
22.5,68.8000684,28.48187591
22.68,68.71029628,28.69776736
22.86,67.82316893,28.57769099
23.04,67.73310078,28.79051451
23.22,67.24784794,28.83389695
23.4,67.15697814,29.0449127
23.58,67.06544619,29.25564208
23.76,66.19310207,29.12284163
23.94,66.10133018,29.33054406
24.12,65.62280605,29.36518334
24.3,65.53027602,29.57109385
24.48,65.43709989,29.77671279
24.66,64.96078629,29.80653582
24.84,64.86687368,30.01036541
25.02,64.77232151,30.21389912
25.2,63.92149114,30.06176371
25.38,63.82678224,30.26232866
25.56,63.35781213,30.28400526
25.74,62.89142734,30.30404319
25.92,62.79596276,30.50137255
26.1,62.33214725,30.51835653
26.28,62.23601249,30.71392871
26.46,61.77482044,30.72791716
26.64,61.6780304,30.92173829
26.82,61.21951581,30.93279086
27,61.12208521,31.12486733
27.18,61.02405197,31.31663692
27.36,60.5682452,31.32338328
27.54,60.46959135,31.51341284
27.72,60.01657822,31.51735509
27.9,59.91731802,31.70565146
28.08,59.81746706,31.89363523
28.26,59.36729917,31.89342339
28.44,59.26686132,32.07967918
28.62,58.8196015,32.07680074
28.8,58.71859054,32.26133586
28.98,58.2742912,32.25585711
29.16,58.1727207,32.43867907
29.34,52.087991,29.26046014
29.52,51.6181606,29.21013802
29.7,51.52618645,29.37207478
29.88,51.43370427,29.53372194
30.06,50.96718095,29.47902868
30.24,50.21459085,29.25454151
30.42,49.74758753,29.19208001
30.6,49.6556793,29.34814327
30.78,49.56328149,29.50391716
30.96,48.771555,29.24041876
31.14,48.6794998,29.39341705
31.32,48.58696464,29.54612552
