Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
14.4,209.1266132,53.66618714,,14.4,165.7558211,42.53635047,,43.37079214,11.12983666,,44.77609714,1.319596327
14.58,207.0559716,53.82835024,,14.58,163.3960797,42.47808618,,43.65989191,11.35026406,,45.11113671,1.316456327
14.76,205.0508965,53.9950293,,14.76,161.2446478,42.45974843,,43.80624872,11.53528087,,45.29955995,1.313316327
14.94,203.0685928,54.15545472,,14.94,156.8709106,41.83520148,,46.19768225,12.32025324,,47.81228383,1.310176327
15.12,200.6805058,54.19410723,,15.12,154.2895497,41.6661517,,46.39095614,12.52795552,,48.05278848,1.307036327
15.3,200.5093473,54.82397582,,15.3,153.4845201,41.96628105,,47.02482713,12.85769477,,48.75094544,1.303896327
15.48,196.3928005,54.36176287,,15.48,149.4802157,41.3763031,,46.91258479,12.98545977,,48.67661427,1.300756327
15.66,193.9683961,54.34698375,,15.66,147.6009901,41.35554437,,46.367406,12.99143938,,48.1530252,1.297616327
15.84,193.016735,54.7345719,,15.84,147.4704063,41.81880684,,45.54632868,12.91576506,,47.34221206,1.294476327
16.02,191.5387454,54.9658288,,16.02,147.3383684,42.281657,,44.20037698,12.6841718,,45.9843619,1.291336327
16.2,191.3652088,55.5669885,,16.2,147.2048779,42.74409027,,44.16033085,12.82289823,,45.9843619,1.288196327
16.38,189.4768515,55.66437586,,16.38,147.069936,43.20610211,,42.40691552,12.45827374,,44.19903923,1.285056327
16.56,186.69117,55.48339428,,16.56,146.933544,43.66768796,,39.75762598,11.81570632,,41.47625513,1.281916327
16.74,183.0659074,55.03217429,,16.74,146.7957034,44.12884325,,36.27020405,10.90333104,,37.87360994,1.278776327
16.92,180.6596808,54.92795035,,16.92,146.6564154,44.58956346,,34.00326546,10.3383869,,35.54017875,1.275636327
17.1,179.2766586,55.12301095,,17.1,146.5156814,45.04984403,,32.76097726,10.07316693,,34.2746309,1.272496327
17.28,177.21664,55.09926659,,17.28,146.3735028,45.50968042,,30.84313719,9.589586161,,32.29952437,1.269356327
17.46,174.4432067,54.83825598,,17.46,146.229881,45.96906811,,28.21332561,8.869187867,,29.57455385,1.266216327
17.64,171.6100805,54.54032387,,17.64,146.0848175,46.42800257,,25.52526301,8.112321297,,26.78336813,1.263076327
17.82,170.145657,54.66371797,,17.82,145.9383137,46.88647926,,24.20734336,7.77723871,,25.42598896,1.259936327
18,168.2615069,54.64185184,,18,145.7903709,47.34449367,,22.47113595,7.297358167,,23.62632826,1.256796327
18.18,163.7251857,53.73760538,,18.18,145.6409907,47.80204129,,18.08419497,5.935564091,,19.0333662,1.253656327
18.36,160.1267104,53.1140592,,18.36,145.4901746,48.25911759,,14.6365358,4.85494161,,15.42072107,1.250516327
