Degree,XCoordinate,YCoordinate
38.92,66.35990477,53.54620782
39.04,66.67679449,54.03275312
39.15,67.00169972,54.5093775
39.26,67.03954899,54.75428937
39.37,67.50517091,55.35086781
39.49,67.67594083,55.72821277
39.6,68.70948014,56.80088619
39.71,68.88748727,57.17092003
39.82,69.2118315,57.66474122
39.94,70.09325271,58.64812521
40.05,71.40573263,59.97961887
40.16,72.14613781,60.83804839
40.27,72.75148879,61.58777649
40.39,74.06675208,62.96784553
40.5,75.52060326,64.45389942
40.61,77.5503252,66.44381382
40.72,78.57837471,67.58652993
40.84,79.88248689,68.99967359
40.95,81.62871653,70.78196078
41.06,82.9549651,72.21131327
41.17,83.11240263,72.62916216
41.29,82.96018359,72.80298486
41.4,88.88123669,78.3015055
41.51,90.03918399,79.62900652
41.62,90.17815236,80.06081545
41.74,91.46455398,81.54590956
41.85,91.75225362,82.11896221
41.96,95.78527019,86.06014572
42.07,96.20063577,86.76753048
42.19,97.47052121,88.28361963
42.3,97.30093541,88.47049208
42.41,99.01064332,90.37270518
42.52,99.271965,90.96103725
42.64,99.80242206,91.83214698
42.75,99.91447566,92.28992842
42.86,100.0252059,92.74853921
42.97,100.5666296,93.61011171
43.09,100.6571724,94.0884352
43.2,100.7635936,94.55085865
43.31,100.8686707,95.01409341
43.42,101.1139094,95.61194481
43.54,101.0563063,95.958965
43.65,101.1572578,96.42462965
43.76,100.9720435,96.61856155
43.87,101.4982384,97.49585091
43.99,102.0001725,98.38935318
44.1,102.2365284,98.99676217
44.21,102.6133308,99.74386034
44.32,102.5637712,100.0791662
44.44,103.3374667,101.2572696
44.55,103.4234672,101.7312789
44.66,104.214562,102.9036365
44.77,104.8556913,103.9348386
44.89,105.4786068,104.990937
45,105.9761123,105.8917543
45.11,106.0519767,106.3750201
45.22,106.1287629,106.8613697
45.34,107.7199079,108.9185695
45.45,107.7898095,109.4083648
45.56,108.139926,110.1858569
45.67,108.3489646,110.8234416
45.79,108.3976759,111.3385701
45.9,108.4649796,111.8362562
46.01,108.9448061,112.7631555
46.12,109.0072307,113.2618956
46.24,109.0490474,113.7810994
46.35,109.2485228,114.4279698
46.46,109.0287472,114.6373948
46.57,108.9472332,114.9927551
46.69,108.7062765,115.2205658
46.8,108.484981,115.4289488
46.91,108.5397807,115.9322331
47.02,108.4548205,116.2879411
47.14,108.2111536,116.5147183
47.25,107.9873757,116.7221488
47.36,107.7632002,116.9291496
47.47,107.5386279,117.1357198
47.59,107.2931883,117.3605772
47.7,107.067789,117.5662447
47.81,106.8419955,117.7714793
47.92,106.6158085,117.9762803
48.04,106.3686114,118.199204
48.15,106.1416046,118.4030958
48.26,105.914207,118.6065517
48.37,105.6864193,118.8095708
48.49,105.4374799,119.0305472
48.6,105.2088795,119.2326507
48.71,104.9798918,119.4343153
48.82,104.6175202,119.4836438
48.94,104.367172,119.7023812
49.05,104.2696712,120.0548583
49.16,103.7747512,119.9491601
49.27,103.4122542,119.9947458
49.39,103.0295405,120.0579601
49.5,102.7989731,120.2554412
49.61,102.5680271,120.4524795
49.72,102.2061217,120.4951258
49.84,101.8232356,120.5543944
49.95,101.5917178,120.7495598
50.06,101.1010215,120.6354707
50.17,100.8693494,120.8292501
50.29,100.4871634,120.8849177
50.4,100.2550139,121.0775187
50.51,100.0224951,121.2696739
50.62,99.53419566,121.150501
50.74,99.28036938,121.3585937
50.85,99.04731308,121.5488781
50.96,98.68686573,121.5822185
51.07,98.45338141,121.7713637
51.19,98.19825783,121.9771925
51.3,97.96401651,122.1653994
51.41,97.47867147,122.0392366
51.52,97.11900074,122.0685587
51.64,96.86325796,122.2715936
51.75,96.62845417,122.4572382
51.86,96.39329458,122.6424319
51.97,96.15778005,122.827174
52.09,95.90045134,123.028195
52.2,95.66419749,123.2119907
52.31,95.42759139,123.3953327
52.42,95.19063391,123.5782204
52.54,94.80973848,123.6181492
52.65,94.4505066,123.6403459
52.76,94.09138208,123.6614133
52.87,93.85391649,123.8417365
52.99,93.594469,124.0379325
53.1,93.35628183,124.2173014
53.21,93.1177509,124.396213
53.32,92.8788771,124.5746665
53.44,92.61789749,124.7688198
53.55,92.25931037,124.785361
53.66,92.01969142,124.9621665
53.77,91.66120008,124.9768955
53.89,91.39938114,125.1684989
54,91.15902857,125.3436536
54.11,90.80061519,125.35582
54.22,90.55990428,125.5298254
54.34,90.29693029,125.7191223
54.45,90.05552316,125.8921605
54.56,89.69781316,125.9019552
54.67,89.45605631,126.0738434
54.79,89.19194592,126.2608284
54.9,88.83434869,126.2680686
55.01,88.5918909,126.4382993
55.12,88.23443458,126.4437341
55.24,87.96955257,126.628161
55.35,87.72640539,126.7967315
55.46,87.48293519,126.9648352
55.57,87.23914286,127.1324714
55.69,86.86025203,127.1500293
55.8,86.61610549,127.3164703
55.91,86.14733166,127.1513688
56.02,85.90318386,127.3164417
56.14,85.63648008,127.4959867
56.25,85.39167194,127.6600787
56.36,85.14654937,127.8237007
56.47,84.90111328,127.986852
56.59,84.63300831,128.1642978
56.7,84.27743947,128.1599776
56.81,84.03135971,128.3214606
56.92,83.67598856,128.3153496
57.04,83.29842507,128.3226625
57.15,83.05203493,128.4822666
57.26,82.80533899,128.6413976
57.37,82.55833814,128.8000549
57.49,82.288536,128.9725947
57.6,82.04090058,129.1302597
57.71,88.8311965,140.4125536
57.82,88.4639672,140.4277745
57.94,88.07239875,140.4572981
58.05,87.70549286,140.4703285
58.16,87.33875407,140.4822956
58.27,87.06902352,140.6496302
58.39,86.77440641,140.8315864
58.5,86.50400665,140.9978375
58.61,86.23328837,141.1635693
58.72,85.96225257,141.3287814
58.84,85.47659937,141.1951993
58.95,85.11083914,141.2019065
59.06,84.83973184,141.3649647
59.17,84.56831215,141.5275023
59.29,84.17802649,141.5464347
59.4,83.9062598,141.7077023
59.51,83.63418415,141.8684481
59.62,83.36180056,142.0286715
59.74,83.06430477,142.2028643
59.85,82.79128052,142.3619935
59.96,82.51795141,142.5205986
60.07,82.24431847,142.6786789
60.19,81.94546445,142.8505309
60.3,81.48981654,142.6899078
60.41,81.12532298,142.6867734
60.52,80.85137372,142.8421811
60.64,80.46218207,142.851335
60.75,80.18791826,143.0054699
60.86,79.91335919,143.1590783
60.97,79.63850587,143.3121595
61.09,79.33833148,143.4785553
61.2,79.06286618,143.6305325
61.31,78.78710975,143.7819808
61.42,78.51106322,143.9328997
61.54,78.20959189,144.0969341
61.65,77.93294206,144.2467442
61.76,77.56953038,144.235229
61.87,77.29261636,144.3838107
61.99,76.99020378,144.5452934
62.1,76.62708071,144.5312786
62.21,76.2641998,144.5162223
62.32,75.98674899,144.6622986
62.44,75.59891075,144.658695
62.55,75.32118777,144.8034945
62.66,75.04318746,144.9477608
62.77,74.76491082,145.0914934
62.89,74.46102237,145.2476832
63,74.18217129,145.3902982
63.11,73.90304706,145.5323777
63.22,73.62365071,145.6739214
63.34,73.31854554,145.827721
63.45,73.03858354,145.9681426
63.56,72.67705895,145.9447787
63.67,72.39687351,146.0839691
63.79,72.01018437,146.0714438
63.9,71.72975709,146.2093543
64.01,71.4490657,146.3467265
64.12,71.0882374,146.3191574
64.24,70.70216815,146.3028939
64.35,70.42129915,146.438294
64.46,70.14017086,146.573155
64.57,69.8587843,146.7074763
64.69,69.55152381,146.8533924
64.8,69.26960059,146.9865836
64.91,68.98742232,147.1192336
65.02,68.70499002,147.2513419
65.14,68.39659356,147.3948416
65.25,68.11363349,147.5258156
65.36,67.83042261,147.6562464
65.47,67.54696198,147.7861335
65.59,67.08660841,147.5953488
65.7,66.80326599,147.7238087
65.81,66.44476863,147.6852263
65.92,66.0865814,147.6456245
66.04,65.77736532,147.7836421
66.15,65.41957672,147.7422722
66.26,65.13595544,147.867533
66.37,64.85209433,147.9922493
66.49,64.54215536,148.127682
66.6,64.25779614,148.2512585
66.71,63.97320032,148.374289
66.82,63.68836894,148.4967732
66.94,63.37737638,148.6297688
67.05,63.09205586,148.7511092
67.16,62.80650303,148.8719019
67.27,62.52071894,148.9921464
67.39,62.20869195,149.1226966
67.5,61.92242771,149.2417936
67.61,61.63593547,149.360341
67.72,61.34921627,149.4783384
67.84,61.03617409,149.6064352
67.95,60.74898377,149.7232813
68.06,60.46156976,149.8395762
68.17,60.17393313,149.9553193
68.29,59.85989504,150.0809547
68.4,59.57179634,150.1955428
68.51,59.28347828,150.3095779
68.62,58.99494194,150.4230595
68.74,58.6799273,150.5462259
68.85,58.32510878,150.4886984
68.96,58.03623048,150.6003407
69.07,57.68188799,150.5411344
69.19,57.43152294,150.8319822
69.3,57.14198757,150.9419091
69.41,56.78800246,150.8806022
69.52,56.49837498,150.9892942
69.64,56.24573451,151.2781677
69.75,55.82882175,151.0435125
69.86,55.53888343,151.1503636
69.97,55.18602969,151.0849721
70.09,54.8696378,151.2001637
70.2,54.64142221,151.4771104
70.31,54.35065405,151.5816823
70.42,54.05968576,151.685696
70.54,53.619968,151.4537301
70.65,53.32924658,151.556342
70.76,53.0383288,151.6583958
70.87,52.74721572,151.7598912
70.99,52.42941634,151.8699761
71.1,52.13789839,151.9703026
71.21,51.84618845,152.0700696
71.32,51.55428761,152.1692767
71.44,51.23563387,152.2768635
71.55,50.94333734,152.3748986
71.66,50.65085323,152.4723726
71.77,50.35818261,152.5692852
71.89,50.03869414,152.6743673
72,49.74563705,152.7701048
72.11,49.45239679,152.8652799
72.22,49.15897443,152.959892
72.34,48.83867092,153.0624629
72.45,48.54487133,153.1558971
72.56,48.25089298,153.2487672
72.67,47.95673697,153.3410731
72.79,47.63563815,153.4411265
72.9,47.34111416,153.5322515
73.01,47.04641585,153.6228111
73.12,46.75154431,153.7128051
73.24,46.42966997,153.8103348
73.35,46.13443973,153.8991449
73.46,45.83903962,153.9873884
73.57,45.54347072,154.0750648
73.69,45.2208407,154.1700649
73.8,44.9249224,154.2565547
73.91,44.62883868,154.3424766
74.02,44.33259064,154.4278302
74.14,44.00922482,154.5202947
74.25,43.7126367,154.6044589
74.36,43.41588762,154.688054
74.47,43.11897869,154.7710794
74.59,42.79489699,154.8610026
74.7,42.49765732,154.9428361
74.81,42.20026118,155.0240991
74.92,41.90270965,155.1047912
75.04,41.57793205,155.1921677
75.15,41.28005915,155.2716653
75.26,41.02871048,155.5275268
75.38,40.70304987,155.6130727
75.49,40.35840498,155.5137694
75.6,40.05991722,155.5909264
75.71,39.76128195,155.6675104
75.83,39.43533108,155.7504029
75.94,39.13639094,155.8257881
76.05,38.88154019,156.0781615
76.16,38.58197214,156.1524835
76.28,38.25500865,156.2329062
76.39,37.95514481,156.3060256
76.5,37.65514122,156.3785695
76.61,37.35499898,156.4505376
76.73,37.02741425,156.5283912
76.84,36.72698567,156.5991545
76.95,36.42642186,156.6693412
77.06,36.20778067,157.0949711
77.18,35.87884944,157.1704218
77.29,35.57719099,157.2389799
77.4,35.27540154,157.3069591
77.51,34.97348221,157.374359
77.63,34.64396883,157.4472253
77.74,34.3417815,157.5134133
77.85,34.03946772,157.5790214
77.96,33.73702861,157.6440492
78.08,33.40695339,157.7143265
78.19,33.1042558,157.7781404
78.3,32.80143632,157.8413732
78.41,32.49849606,157.9040249
78.53,32.16787933,157.9717091
78.64,31.86469014,158.0331448
78.75,31.56138361,158.0939986
78.86,31.29332029,158.3331765
78.98,30.96180785,158.3983369
79.09,30.65780223,158.4574575
79.2,30.35368371,158.5159946
79.31,30.04945344,158.5739481
79.43,29.71743971,158.6365041
79.54,29.41297936,158.6932365
79.65,29.10841071,158.7493845
79.76,28.80373487,158.804948
79.88,28.47124032,158.8648959
79.99,28.166344,158.9192365
80.1,27.86134398,158.972992
80.21,27.58751909,159.2066648
80.33,27.25418627,159.2640658
80.44,26.94852623,159.3160703
80.55,26.67293936,159.5479687
80.66,26.39652793,159.7791913
80.78,26.06199923,159.8340979
80.89,25.78428333,160.0640624
81,25.4770909,160.1132448
81.11,25.16980466,160.1618377
81.23,24.83447764,160.2141756
81.34,24.5269989,160.2615352
81.45,24.27373186,160.6677294
81.56,23.96538384,160.7140122
81.68,23.62890358,160.7638276
81.79,23.32037234,160.8088728
81.9,23.01175524,160.8533259
82.01,22.7030534,160.8971867
82.13,22.36619246,160.9443592
82.24,22.05731713,160.9869811
82.35,21.77285179,161.2103479
82.46,21.46346715,161.2518307
82.58,21.12586654,161.2964076
82.69,20.81631795,161.3366488
82.8,20.50669271,161.3762959
82.91,20.21968505,161.5967131
83.03,19.88136521,161.6386855
83.14,19.57116212,161.676538
83.25,19.26088696,161.7137952
83.36,18.97178573,161.9317902
83.48,18.63276719,161.9711497
83.59,18.32192844,162.0066056
83.7,18.01102222,162.0414651
83.81,17.70004969,162.0757279
83.93,17.38015165,162.2937573
84.04,17.06869616,162.3268091
84.15,16.75717781,162.3592631
84.26,16.44559777,162.3911194
84.38,16.10562324,162.4251897
84.49,15.79391789,162.4557955
84.6,15.48215438,162.4858032
84.71,15.17033386,162.5152125
84.83,14.83010236,162.546613
84.94,14.51816636,162.574771
85.05,14.1903042,162.4206532
85.16,13.87861108,162.4475838
85.28,13.53852397,162.4762804
85.39,13.21191386,162.3199885
85.5,12.88593723,162.1628378
85.61,12.56059652,162.0048294
85.73,12.22143914,162.0307679
85.84,11.88377784,161.6903702
85.95,11.54740937,161.3484552
86.06,11.23777854,161.3703164
86.18,10.8999523,161.3934872
86.29,10.56639826,161.0507722
86.4,10.25734046,161.0707514
86.51,9.948244885,161.0901376
86.63,9.589276334,160.7463191
86.74,9.249345567,160.2194836
86.85,8.93172458,160.0548582
86.96,8.614814311,159.8904364
87.08,8.270693992,159.7266278
87.19,7.937023177,159.197478
87.3,7.622835746,159.0311051
87.41,7.309306552,158.8639062
87.53,6.968800279,158.698149
87.64,6.641489823,158.1688674
87.75,6.308861494,157.4548558
87.86,5.99290778,157.1048007
87.98,5.650983968,156.7553286
88.09,5.33168058,156.2238987
88.2,5.026107965,156.054173
88.31,4.715713237,155.7024793
88.43,4.369427253,154.9905635
88.54,4.053051876,154.2770433
88.65,3.743875662,153.7454066
88.76,3.436736552,153.2123434
