Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,,,,
18.36,122.8391215,40.74575914,,18.36,53.47892684,17.73896984,,69.36019466,23.0067893,,73.07632282,1.250516327,,,
18.54,122.7105745,41.13127248,,18.54,53.42296292,17.90680594,,69.28761158,23.22446654,,73.07632287,1.247376327,,,
18.72,122.5808176,41.51638028,,18.72,53.36647228,18.07446549,,69.21434532,23.44191479,,73.07632289,1.244236327,,,
18.9,123.2223374,42.16541526,,18.9,53.30945547,18.24194684,,69.91288193,23.92346842,,73.89278315,1.241096327,,,
19.08,123.0893307,42.5521249,,19.08,53.25191304,18.40924832,,69.83741766,24.14287658,,73.8927831,1.237956327,,,
19.26,122.9551104,42.93841499,,19.26,53.19384558,18.5763683,,69.76126482,24.36204669,,73.89278306,1.234816327,,,
19.44,122.8196779,43.32428173,,19.44,53.13525364,18.74330513,,69.68442426,24.5809766,,73.89278311,1.231676327,,,
19.62,123.0717927,43.84822878,,19.62,53.07613781,18.91005715,,69.99565489,24.93817163,,74.30547832,1.228536327,,,
19.8,123.3134219,44.37116153,,19.8,53.01649868,19.07662272,,70.29692322,25.29453881,,74.70924379,1.225396327,,,
19.98,123.1734888,44.7581463,,19.98,53.3358577,19.38090855,,69.8376311,25.37723775,,74.30544336,1.222256327,,,
20.16,123.0323412,45.14468977,,20.16,53.27473882,19.54828733,,69.75760238,25.59640244,,74.30544332,1.219116327,,,
20.34,122.8899806,45.53078813,,20.34,53.21309466,19.71547336,,69.67688594,25.81531477,,74.30544335,1.215976327,,,
20.52,122.7464083,45.91643758,,20.52,53.15092585,19.88246501,,69.59548245,26.03397257,,74.30544331,1.212836327,,,
20.7,122.9805639,46.44474378,,20.7,53.08823299,20.04926063,,69.89233091,26.39548315,,74.71050429,1.209696327,,,
20.88,122.8341214,46.83067315,,20.88,53.40510961,20.3607695,,69.42901179,26.46990365,,74.30372452,1.206556327,,,
21.06,122.6864678,47.21614079,,21.06,53.34091362,20.52836089,,69.34555418,26.6877799,,74.30372454,1.203416327,,,
21.24,122.5376045,47.6011429,,21.24,53.27619171,20.69574988,,69.26141279,26.90539302,,74.3037245,1.200276327,,,
21.42,122.3875331,47.98567568,,21.42,53.21094452,20.86293482,,69.17658858,27.12274086,,74.30372453,1.197136327,,,
21.6,122.6187941,48.52110874,,21.6,53.1451727,21.02991407,,69.4736214,27.49119467,,74.71512467,1.193996327,,,
21.78,122.4658336,48.90589192,,21.78,53.07887688,21.19668596,,69.38695672,27.70920596,,74.71512469,1.190856327,,,
21.96,122.6943971,49.44442928,,21.96,53.01205773,21.36324886,,69.68233937,28.08118042,,75.12776527,1.187716327,,,
22.14,122.1562917,49.67400792,,22.14,52.9447159,21.52960114,,69.2115758,28.14440678,,74.71512469,1.184576327,,,
22.32,122.3744747,50.21110036,,22.32,53.25588317,21.85126024,,69.11859153,28.35984012,,74.71050948,1.181436327,,,
22.5,122.5916641,50.75053914,,22.5,53.18700779,22.01837572,,69.40465631,28.73216342,,75.11686583,1.178296327,,,
22.68,122.4317033,51.13522615,,22.68,53.117608,22.1852741,,69.3140953,28.94995205,,75.11686582,1.175156327,,,
22.86,122.2705354,51.51940898,,22.86,53.04768449,22.35195375,,69.22285091,29.16745523,,75.11686583,1.172016327,,,
23.04,122.108162,51.90308385,,23.04,52.97723796,22.51841302,,69.13092404,29.38467083,,75.11686587,1.168876327,,,
23.22,121.9445846,52.28624697,,23.22,52.90626909,22.68465026,,69.03831551,29.60159671,,75.11686586,1.165736327,,,
23.4,121.7798049,52.66889458,,23.4,52.83477859,22.85066384,,68.94502631,29.81823074,,75.11686586,1.162596327,,,
23.58,121.6138245,53.05102289,,23.58,52.76276716,23.01645212,,68.85105734,30.03457077,,75.11686587,1.159456327,,,
23.76,121.446645,53.43262814,,23.76,52.69023551,23.18201347,,68.75640949,30.25061467,,75.11686584,1.156316327,,,
23.94,121.2782681,53.81370657,,23.94,52.61718435,23.34734626,,68.66108375,30.46636031,,75.11686583,1.153176327,,,
24.12,121.1086955,54.19425442,,24.12,54.42590971,24.35474667,,66.68278579,29.83950775,,73.05470651,1.150036327,,,
24.3,120.9379288,54.57426793,,24.3,54.34916763,24.52552368,,66.58876117,30.04874425,,73.05470652,1.146896327,,,
24.48,120.7659696,54.95374336,,24.48,54.27188968,24.69605888,,66.49407992,30.25768448,,73.05470645,1.143756327,,,
24.66,120.5928198,55.33267697,,24.66,54.55615943,25.03248826,,66.03666037,30.30018871,,72.65632766,1.140616327,,,
24.84,120.418481,55.71106502,,24.84,54.47728859,25.20367091,,65.94119241,30.50739411,,72.65632768,1.137476327,,,
25.02,120.2429549,56.08890379,,25.02,54.39788063,25.37460507,,65.84507427,30.71429872,,72.65632768,1.134336327,,,
25.2,120.0662433,56.46618954,,25.2,54.31793634,25.54528904,,65.74830696,30.9209005,,72.65632771,1.131196327,,,
25.38,119.8883478,56.84291856,,25.38,54.23745648,25.71572115,,65.65089132,31.12719741,,72.65632766,1.128056327,,,
25.56,119.7092703,57.21908713,,25.56,54.15644187,25.88589971,,65.55282843,31.33318742,,72.65632766,1.124916327,,,
25.74,119.5290125,57.59469154,,25.74,54.0748933,26.05582305,,65.4541192,31.53886849,,72.65632764,1.121776327,,,
25.92,119.7164857,58.1489155,,25.92,53.99281157,26.22548948,,65.72367413,31.92342602,,73.06645243,1.118636327,,,
26.1,119.5333083,58.52453799,,26.1,53.9101975,26.39489735,,65.6231108,32.12964064,,73.06645248,1.115496327,,,
26.28,119.7178384,59.08163145,,26.28,53.82705189,26.56404497,,65.89078651,32.51758648,,73.47781418,1.112356327,,,
26.46,119.5317322,59.45725358,,26.46,54.10265158,26.91164108,,65.42908062,32.5456125,,73.07654537,1.109216327,,,
26.64,119.3444474,59.83228949,,26.64,54.01788245,27.08139046,,65.32656495,32.75089903,,73.07654532,1.106076327,,,
26.82,119.155986,60.20673548,,26.82,53.93258072,27.25087283,,65.22340528,32.95586265,,73.07654534,1.102936327,,,
27,118.9663498,60.58058786,,27,54.20684824,27.60345879,,64.75950156,32.97712907,,72.67244377,1.099796327,,,
27.18,119.1426135,61.14221932,,27.18,54.1199063,27.77353193,,65.0227072,33.36868739,,73.08503096,1.096656327,,,
27.36,118.9500399,61.51602509,,27.36,54.03243075,27.94333124,,64.91760915,33.57269385,,73.08503096,1.093516327,,,
27.54,118.7562935,61.88922434,,27.54,53.94442246,28.11285504,,64.81187104,33.7763693,,73.08503096,1.090376327,,,
27.72,118.5613762,62.26181339,,27.72,53.85588231,28.28210166,,64.70549389,33.97971173,,73.08503095,1.087236327,,,
27.9,118.3652899,62.63378856,,27.9,56.74535127,30.02718394,,61.61993863,32.60660462,,69.71518846,1.084096326,,,
28.08,118.1680367,63.00514619,,28.08,56.99108922,30.38665962,,61.17694748,32.61848657,,69.32953605,1.080956327,,,
28.26,117.9696183,63.37588261,,28.26,56.89539431,30.56546154,,61.07422399,32.81042107,,69.32953603,1.077816327,,,
28.44,117.7700368,63.74599417,,28.44,56.79913844,30.74396211,,60.97089836,33.00203206,,69.32953604,1.074676327,,,
28.62,117.5692941,64.11547722,,28.62,57.0794164,31.12780467,,60.4898777,32.98767255,,68.90001338,1.071536327,,,
28.8,117.73006,64.68358608,,28.8,56.98139386,31.30688029,,60.74866614,33.37670579,,69.31381484,1.068396327,,,
28.98,117.5263735,65.05293898,,28.98,56.88280951,31.48564724,,60.64356399,33.56729174,,69.31381484,1.065256327,,,
29.16,117.3215282,65.42165049,,29.16,57.16079064,31.87439956,,60.16073756,33.54725093,,68.88201789,1.062116327,,,
29.34,117.4773497,65.99297157,,29.34,57.39470198,32.24150821,,60.08264772,33.75146336,,68.9136114,1.058976327,,,
29.52,117.6317739,66.56650127,,29.52,57.29318086,32.42156833,,60.33859304,34.14493294,,69.32980784,1.055836327,,,
29.7,118.1483951,67.34951171,,29.7,57.19109486,32.60130879,,60.95730024,34.74820292,,70.1657328,1.052696327,,,
29.88,117.9363356,67.72016504,,29.88,57.08844498,32.78072782,,60.84789062,34.93943722,,70.16573285,1.049556327,,,
30.06,117.7231132,68.09015068,,30.06,56.98523223,32.95982364,,60.73788097,35.13032704,,70.16573282,1.046416327,,,
30.24,119.6993433,69.73569533,,30.24,57.91983073,33.74354075,,61.77951257,35.99215458,,71.49925429,1.043276327,,,
30.42,119.4797835,70.11120687,,30.42,58.48730225,34.32057899,,60.99248125,35.79062788,,70.71811517,1.040136327,,,
30.6,120.9732713,71.49919096,,30.6,58.37924748,34.50405962,,62.59402382,36.99513134,,72.70936364,1.036996327,,,
30.78,121.1114557,72.0949511,,30.78,58.27061711,34.68720006,,62.84083859,37.40775104,,73.13214637,1.033856327,,,
30.96,120.8844808,72.47488504,,30.96,58.16141222,34.86999849,,62.72306858,37.60488655,,73.13214631,1.030716327,,,
31.14,120.6563141,72.8541044,,31.14,58.38938407,35.25639179,,62.26693003,37.59771261,,72.73760079,1.027576327,,,
31.32,120.4269578,73.23260544,,31.32,58.63846553,35.65852437,,61.78849227,37.57408107,,72.31617624,1.024436327,,,
31.5,121.6478285,74.499256,,31.5,58.52620887,35.84247306,,63.12161963,38.65678294,,74.01814461,1.021296327,,,
31.68,121.4133016,74.88086229,,31.68,58.41337517,36.02606836,,62.99992643,38.85479393,,74.01814468,1.018156327,,,
31.86,121.9058884,75.71407421,,31.86,58.29996553,36.20930845,,63.60592287,39.50476576,,74.87549627,1.015016327,,,
32.04,122.3979462,76.55331097,,32.04,58.52062791,36.60149508,,63.87731829,39.95181589,,75.34228152,1.011876327,,,
32.22,122.1569659,76.9372625,,32.22,58.76187391,37.00957769,,63.39509199,39.92768481,,74.92100975,1.008736327,,,
32.4,121.914781,77.32045546,,32.4,58.64537435,37.19390722,,63.26940665,40.12654824,,74.92100968,1.005596326,,,
32.58,121.6713942,77.70288607,,32.58,58.86109277,37.59040336,,62.81030143,40.11248271,,74.52613793,1.002456327,,,
32.76,121.4268077,78.08455056,,32.76,59.09697575,38.00281732,,62.32983195,40.08173324,,74.10501529,0.999316327,,,
32.94,121.181024,78.46544516,,32.94,58.97735576,38.18819417,,62.20366824,40.27725099,,74.10501528,0.996176327,,,
33.12,120.9340455,78.84556614,,33.12,58.85715428,38.3731945,,62.07689122,40.47237164,,74.10501528,0.993036327,,,
33.3,120.6858747,79.22490972,,33.3,58.7363725,38.55781649,,61.9495022,40.66709323,,74.10501531,0.989896327,,,
33.48,120.4365139,79.60347218,,33.48,58.94456145,38.95987691,,61.49195245,40.64359527,,73.70998611,0.986756327,,,
33.66,120.1859657,79.98124979,,33.66,58.82193705,39.14477047,,61.36402865,40.83647932,,73.70998613,0.983616327,,,
33.84,119.9342325,80.35823881,,33.84,58.69873269,39.32927807,,61.23549981,41.02896074,,73.70998614,0.980476327,,,
34.02,119.6813168,80.73443553,,34.02,59.27474815,39.98546692,,60.40656865,40.74896861,,72.86584919,0.977336327,,,
34.2,119.4272211,81.10983624,,34.2,59.14890178,40.1713922,,60.27831932,40.93844404,,72.86584921,0.974196327,,,
34.38,124.0331363,84.80830007,,34.38,59.34676869,40.5786608,,64.68636761,44.22963927,,78.36189855,0.971056327,,,
34.56,123.7662272,85.19734539,,34.56,59.21905934,40.76480931,,64.54716786,44.43253608,,78.36189853,0.967916327,,,
34.74,123.4980979,85.5855507,,34.74,59.09076611,40.95055589,,64.40733179,44.63499481,,78.36189859,0.964776327,,,
34.92,123.2287509,85.97291217,,34.92,59.30880039,41.37792724,,63.91995051,44.59498493,,77.93890398,0.961636327,,,
35.1,122.9581889,86.35942598,,35.1,59.17858153,41.56395258,,63.77960737,44.7954734,,77.93890398,0.958496327,,,
35.28,122.6864146,86.74508833,,35.28,59.0477792,41.74956812,,63.6386354,44.99552021,,77.93890399,0.955356327,,,
35.46,123.3990003,87.83139183,,35.46,58.91639468,41.93477203,,64.48260562,45.8966198,,79.14863319,0.952216327,,,
35.64,123.1226019,88.21843106,,35.64,58.4405863,41.87319595,,64.6820156,46.34523511,,79.57162785,0.949076327,,,
35.82,122.8449895,88.6046005,,35.82,58.30881658,42.05649267,,64.53617292,46.54810783,,79.57162784,0.945936327,,,
36,123.5532276,89.70655838,,36,58.17647196,42.23937472,,65.37675564,47.46718366,,80.79142097,0.942796327,,,
36.18,123.2709404,90.09407264,,36.18,58.04355374,42.42184031,,65.22738666,47.67223233,,80.79142099,0.939656327,,,
36.36,122.9874378,90.48069862,,36.36,58.2507848,42.85455328,,64.736653,47.62614534,,80.3684264,0.936516327,,,
36.54,122.7027225,90.86643248,,36.54,58.11593456,43.03724918,,64.58678794,47.8291833,,80.36842633,0.933376327,,,
36.72,122.4167975,91.25127045,,36.72,58.32135392,43.4735898,,64.09544358,47.77768065,,79.94330901,0.930236327,,,
36.9,122.1296655,91.63520871,,36.9,58.18455956,43.65650424,,63.94510594,47.97870447,,79.94330902,0.927096327,,,
37.08,121.8413293,92.01824349,,37.08,58.04719152,43.83898824,,63.79413778,48.17925525,,79.94330899,0.923956327,,,
37.26,122.8586892,93.39383889,,37.26,58.24934579,44.2795707,,64.60934341,49.11426819,,81.15773898,0.920816327,,,
37.44,105.0151549,80.35121176,,37.44,58.11002101,44.46225506,,46.90513389,35.8889567,,59.06021333,0.917676326,,,
37.62,104.7623349,80.68056269,,37.62,57.97012329,44.64450103,,46.79221161,36.03606166,,59.0602134,0.914536327,,,
