Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
14.04,121.2191321,30.29722761,,14.04,55.85777926,13.96096328,,65.36135284,16.33626433,,67.37195245,1.325876327
14.22,121.1234014,30.6777057,,14.22,55.81366654,14.13628759,,65.30973486,16.54141811,,67.37195248,1.322736327
14.4,121.8171962,31.26079625,,14.4,55.76900352,14.31147253,,66.04819268,16.94932372,,68.18829321,1.319596327
14.58,121.7184369,31.64314751,,14.58,55.72379065,14.48651636,,65.99464625,17.15663115,,68.18829317,1.316456327
14.76,121.6184775,32.02518678,,14.76,55.67802835,14.66141736,,65.94044915,17.36376942,,68.18829315,1.313316327
14.94,121.5173191,32.40691029,,14.94,55.6317171,14.8361738,,65.885602,17.57073649,,68.18829322,1.310176327
15.12,121.4149625,32.78831429,,15.12,55.58485733,15.01078397,,65.83010517,17.77753032,,68.18829321,1.307036327
15.3,121.3114088,33.169395,,15.3,55.53744953,15.18524613,,65.77395927,17.98414887,,68.18829319,1.303896327
15.48,121.206659,33.55014868,,15.48,55.48949414,15.35955858,,65.71716486,18.1905901,,68.18829317,1.300756327
15.66,121.1007142,33.93057157,,15.66,55.44099166,15.53371958,,65.65972254,18.39685199,,68.18829318,1.297616327
15.84,121.394523,34.42435834,,15.84,55.39194255,15.70772743,,66.00258045,18.71663091,,68.6050501,1.294476327
16.02,121.2858323,34.80536681,,16.02,55.74433832,15.99693968,,65.54149398,18.80842713,,68.18683424,1.291336327
16.2,121.1759457,35.18603211,,16.2,55.6938332,16.17189775,,65.4821125,19.01413436,,68.18683423,1.288196327
16.38,121.0648643,35.5663505,,16.38,55.64277896,16.34669638,,65.42208534,19.21965412,,68.18683417,1.285056327
16.56,121.3356177,36.06015173,,16.56,55.59117611,16.52133383,,65.74444159,19.5388179,,68.58641997,1.281916327
16.74,121.2217909,36.44096717,,16.74,55.53902516,16.69580839,,65.68276574,19.74515878,,68.58642002,1.278776327
16.92,122.6489545,37.29031101,,16.92,55.48632661,16.87011833,,67.16262789,20.42019268,,70.19831091,1.275636327
17.1,122.5312585,37.67524426,,17.1,55.43308099,17.04426195,,67.09817751,20.63098231,,70.19831092,1.272496327
17.28,122.8052807,38.18197264,,17.28,55.37928882,17.21823751,,67.42599188,20.96373513,,70.6097909,1.269356327
17.46,122.6847841,38.56739236,,17.46,55.32495064,17.39204331,,67.35983346,21.17534905,,70.6097909,1.266216327
17.64,122.5630779,38.95243182,,17.64,55.27006697,17.56567763,,67.29301093,21.38675419,,70.60979093,1.263076327
17.82,122.4401632,39.33708722,,17.82,55.21463836,17.73913876,,67.22552484,21.59794846,,70.60979088,1.259936327
18,122.3160414,39.72135478,,18,55.15866536,17.91242499,,67.15737604,21.80892979,,70.60979093,1.256796327
18.18,122.1907135,40.1052307,,18.18,55.10214852,18.08553461,,67.08856498,22.01969609,,70.60979087,1.253656327
18.36,122.4559427,40.61865865,,18.36,55.04508839,18.25846591,,67.41085431,22.36019274,,71.02254218,1.250516327
18.54,122.3277966,41.00296944,,18.54,54.98748554,18.4312172,,67.34031106,22.57175224,,71.02254215,1.247376327
18.72,122.1984445,41.38687595,,18.72,54.92934054,18.60378675,,67.26910396,22.7830892,,71.0225422,1.244236327
18.9,122.0678875,41.77037441,,18.9,55.24731068,18.90506094,,66.82057682,22.86531347,,70.62444369,1.241096327
19.08,121.936127,42.15346102,,19.08,55.18767653,19.07844401,,66.74845047,23.07501701,,70.62444372,1.237956327
19.26,121.8031642,42.53613202,,19.26,55.12749825,19.25163898,,66.67566595,23.28449304,,70.62444369,1.234816327
19.44,121.6690005,42.91838364,,19.44,55.06677643,19.42464413,,66.60222407,23.49373951,,70.6244437,1.231676327
19.62,121.5336372,43.30021209,,19.62,55.00551168,19.59745777,,66.52812552,23.70275432,,70.6244437,1.228536327
19.8,122.1580413,43.95542755,,19.8,55.32108987,19.90587056,,66.83695143,24.04955699,,71.03210026,1.225396327
19.98,122.0194193,44.33878648,,19.98,55.25831281,20.07948036,,66.76110649,24.25930612,,71.0321003,1.222256327
